Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Measured Size,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
283,WETA Digital,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, GigE",New Zealand,2009,5936,31527.8,59360.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Australia and New Zealand,Oceania,06/2010
284,Financial Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband",France,2010,3200,31506.5,37504.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Finance,Infiniband,Infinband DDR 4x,Western Europe,Europe,06/2010
285,Software Company (M),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",United States,2009,6372,31490.3,59387.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Software,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
286,Software Company (M),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",United States,2009,6372,31490.3,59387.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Software,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
287,Software Company (M),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",United States,2009,6372,31490.3,59387.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Software,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
288,Software Company (M),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",United States,2009,6372,31490.3,59387.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Software,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
289,Computacenter (UK) LTD,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United Kingdom,2010,5440,31401.4,55052.8,0,0,171.99,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
290,Financial Services (O),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",United Kingdom,2009,5904,31361.6,59040.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
291,Banking (M),IBM,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband",United States,2010,4248,31310.0,45300.7,0,0,200.72,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas,06/2010
292,Argonne National Laboratory,IBM,"iDataPlex, Xeon X55xx QC 2.66 GHz, Infiniband",United States,2010,4032,31310.0,42997.2,0,0,132.3,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,06/2010
293,Banking (M),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, Infiniband",United States,2010,3888,31310.0,41461.6,0,0,127.58,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas,06/2010
294,Energy Company (A),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband",Italy,2010,3408,31310.0,36261.1,0,0,111.83,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Research,Infiniband,Infiniband,Southern Europe,Europe,06/2010
295,Energy Company (A),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband",Italy,2010,3408,31310.0,36261.1,0,0,111.83,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Research,Infiniband,Infiniband,Southern Europe,Europe,06/2010
296,Energy Company (A),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband",Italy,2010,3408,31310.0,36261.1,0,0,111.83,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Research,Infiniband,Infiniband,Southern Europe,Europe,06/2010
297,Nanjing University,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, Infiniband",China,2009,3200,31310.0,34048.0,0,0,105.0,112,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Academic,Geophysics,Infiniband,Infiniband,Eastern Asia,Asia,06/2010
298,Datacenter,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",Germany,2009,5888,31278.5,58880.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2010
299,IT Service Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4880,31226.5,58560.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
300,Information Service,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",France,2010,5408,31217.0,54729.0,0,0,170.98,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2010
301,The Institute of Statistical Mathematics,Fujitsu,"PRIMERGY RX200S5 Cluster, Xeon X5570 2.93GHz, Infiniband QDR",Japan,2009,2880,31180.0,33753.0,959040,0,0.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Fujitsu Cluster,Fujitsu RX200S5 Cluster,RedHat Enterprise 5,Cluster,Research,Not Specified,Infiniband,Infiniband DDR,Eastern Asia,Asia,06/2010
302,Classified,IBM,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband",United Kingdom,2010,3184,31153.4,33954.2,0,0,150.44,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Classified,Not Specified,Infiniband,Infiniband,Northern Europe,Europe,06/2010
303,Classified,IBM,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband",United Kingdom,2010,3184,31153.4,33954.2,0,0,150.44,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Classified,Not Specified,Infiniband,Infiniband,Northern Europe,Europe,06/2010
304,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4864,31126.0,58368.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
305,Communications Company (P1),Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, GigE",Poland,2010,5856,31112.2,58560.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe,06/2010
306,Computacenter (UK) LTD,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",United Kingdom,2009,5856,31112.2,58560.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
307,Logistics,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",Germany,2010,5384,31078.2,54486.1,0,0,170.22,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2010
308,Logistics,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",Germany,2010,5384,31078.2,54486.1,0,0,170.22,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2010
309,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,5376,31032.0,54405.1,0,0,212.06,112,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2010
310,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,5376,31032.0,54405.1,0,0,212.06,112,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2010
311,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,5376,31032.0,54405.1,0,0,212.06,112,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2010
312,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,5376,31032.0,54405.1,0,0,212.06,112,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2010
313,Logistic Services,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",China,2009,5840,31029.1,58400.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2010
314,Financial Institution (U2),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2009,4960,30988.6,58131.2,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
315,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4832,30925.0,57984.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
316,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4832,30925.0,57984.0,0,0,269.12,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
317,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4832,30925.0,57984.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
318,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4832,30925.0,57984.0,0,0,269.12,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
319,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2009,3072,30901.9,34406.4,0,0,109.44,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas,06/2010
320,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2009,3072,30901.9,34406.4,0,0,109.44,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas,06/2010
321,Atomic Weapons Establishment,Bull SA,"Bullx B500 Blade system,  2.4Ghz Intel L5330, QDR Infiniband",United Kingdom,2010,3744,30890.0,35942.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2400,4,Bull Cluster,Bullx B500 Blade system,Linux,Cluster,Classified,Not Specified,Infiniband,Infiniband QDR,Northern Europe,Europe,06/2010
322,Atomic Weapons Establishment,Bull SA,"Bullx B500 Blade system,  2.4Ghz Intel L5330, QDR Infiniband",United Kingdom,2010,3744,30890.0,35942.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2400,4,Bull Cluster,Bullx B500 Blade system,Linux,Cluster,Classified,Not Specified,Infiniband,Infiniband QDR,Northern Europe,Europe,06/2010
323,Computacenter (UK) LTD,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United Kingdom,2009,4768,30522.7,57216.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
324,Software Company (M),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",United States,2010,6144,30389.7,57262.1,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Software,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
325,Software Company (M),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",United States,2010,6144,30389.7,57262.1,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Software,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
326,Web Content Provider (W),Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.33 Ghz, GigE",United States,2009,6144,30389.7,57262.1,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
327,Web Content Provider (W),Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.33 Ghz, GigE",United States,2009,6144,30389.7,57262.1,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
328,Financial Institution (P),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United Kingdom,2010,5248,30293.0,53110.0,0,0,165.92,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
329,Financial Institution (P),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United Kingdom,2010,5248,30293.0,53110.0,0,0,165.92,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
330,Financial Institution (P),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United Kingdom,2010,5248,30293.0,53110.0,0,0,165.92,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
331,Mississippi State University,IBM,"iDataPlex, Xeon X56xx 6C 2.8 GHz, Infiniband",United States,2010,3072,30130.0,34406.0,774144,0,72.0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas,06/2010
332,Arizona State University HPCI / Translational Genomics Research Institute HPBC,Dell,"PowerEdge M100e/M600, E54xx/X5355 2.83/2.66 GHz, Infiniband",United States,2008,4200,30110.0,44688.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,Dell PowerEdge Cluster,PowerEdge M100e/M600 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas,06/2010
333,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, Infiniband",United States,2010,3232,30008.0,37879.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Information Service,Infiniband,Infiniband,North America,Americas,06/2010
334,Centre Interuniversitaire de Calcul de Toulouse,SGI,"SGI Altix ICE 8200EX, Xeon Nehalem quad core 2.8 GHz",France,2009,2816,29856.0,31539.2,0,0,126.5,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Research,Infiniband,Infiniband,Western Europe,Europe,06/2010
335,Classified,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, Infiniband",United States,2010,3480,29803.0,34800.0,0,0,134.48,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2500,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Classified,Not Specified,Infiniband,Infiniband,North America,Americas,06/2010
336,Classified,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, Infiniband",United States,2010,3480,29803.0,34800.0,0,0,134.48,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2500,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Classified,Not Specified,Infiniband,Infiniband,North America,Americas,06/2010
337,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4648,29767.9,55776.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
338,Geoscience (P),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, GigEthernet",United States,2010,5152,29739.0,52138.2,0,0,169.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
339,Network Equipment Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4640,29717.5,55680.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Hardware,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
340,Financial Services (H),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon L55xx 2.26 GHz, GigE",United States,2010,6192,29701.6,55975.7,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
341,Banking,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",Canada,2010,5136,29646.6,51976.3,0,0,225.34,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
342,IT Services Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, GigE",Sweden,2009,4620,29591.7,55440.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
343,Food Industry,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United Kingdom,2009,4616,29566.5,55392.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
344,Telecommunication Company,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,5104,29461.9,51652.5,0,0,223.94,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2010
345,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5530 2.4 GHz, GigE",Denmark,2010,5760,29388.7,55296.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2400,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
346,Compute Canada/WestGrid/UBC,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Canada,2009,3088,29372.2,37056.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas,06/2010
347,Financial Services (H),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",United States,2010,5696,29370.0,51651.3,0,0,163.76,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
348,Financial Services (H),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",United States,2010,5696,29370.0,51651.3,0,0,163.76,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
349,Financial Services (H),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",United States,2010,5696,29370.0,51651.3,0,0,163.76,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
